Title,Description,Cash,Salary,Cost
"Арт-галерея 'Творчість'","Картини та творчі вироби",-600,90,0
"Студія йоги","Групові та приватні заняття",-450,65,0
"Майстерня свічок","Ароматичні свічки ручної роботи",-200,30,0
"Кондитерська 'Солодкий рай'","Торти та десерти на замовлення",-400,60,0
"Міні-кафе 'Перерва'","Легкі страви та напої",-350,55,0
"Мобільний бариста","Кава та напої на заходах",-350,55,0
"Курс малювання","Групові та приватні заняття",-250,40,0
"Майстерня шкіряних виробів","Сумки та аксесуари",-300,50,0
"Льодовий кіоск","Морозиво та охолоджуючі напої",-250,40,0
"Міні-пивоварня","Домашнє пиво на продаж",-500,75,0
"Майстерня кераміки","Глиняний посуд та декор",-250,40,0
"Студія танців 'Енергія'","Заняття для всіх вікових груп",-400,65,0
"Міні-магазин спортивного харчування","Протеїнові добавки",-250,40,0
"Квест для дітей","Ігри та завдання для малюків",-200,30,0
"Фотостудія","Професійні фотосесії",-300,50,0
"Мобільний кіоск морозива","Продаж морозива у спеку",-250,40,0
"Міні-флористика","Сезонні букети та композиції",-250,40,0
"Книжковий магазин","Продаж книг та організація читань",-300,50,0
"Міні-ательє","Пошив одягу на замовлення",-450,70,0
"Велнес-студія","Йога, фітнес та ментальне здоров’я",-400,65,0
"Міні-бар","Невеликий бар з напоями",-500,80,0
"Мобільний бар","Коктейлі та напої на заходах",-450,70,0
"Міні-квест кімната 'Пригода'","Короткі квести для груп",-350,55,0
"Студія музики 'Гармонія'","Навчання гри на музичних інструментах",-400,60,0
"Майстерня іграшок 'Радість'","Ручні іграшки для дітей",-300,45,0
"Фітнес-студія 'Форма'","Персональні тренування",-500,85,0
"Міні-піцерія 'Смакота'","Доставка та випічка",-400,65,0
